省辖市代码,省份,年份,地区生产总值 (亿元),第一产业增加值 (亿元),第二产业增加值 (亿元),第三产业增加值 (亿元),农林牧渔业增加值 (亿元),工业增加值 (亿元),建筑业增加值 (亿元),批发和零售业增加值 (亿元),交通运输、仓储和邮政业增加值 (亿元),住宿和餐饮业增加值 (亿元),金融业增加值 (亿元),房地产业增加值 (亿元),其他行业增加值 (亿元),人均地区生产总值 (元/人)
220000000000,吉林省,2018,11437.4,1160.7,4051.5,6225.1,1205.0,3287.2,785.6,732.9,584.9,188.1,780.8,839.4,3033.7,45658.0
220000000000,吉林省,2017,11083.0,1095.4,3995.5,5992.1,1137.7,3235.2,781.1,717.8,568.4,181.1,774.6,801.0,2886.1,43522.0
220000000000,吉林省,2016,10603.5,1130.1,3901.4,5572.1,1171.1,3148.2,773.5,704.9,541.9,178.1,732.2,783.7,2569.9,40940.0
230000000000,黑龙江省,2025,,,,,,,,,,,,,,55980.0
230000000000,黑龙江省,2024,16476.9,3203.3,4147.3,9126.2,3319.0,3786.3,515.8,1408.3,1101.8,272.3,898.7,947.8,4226.9,54102.0
230000000000,黑龙江省,2023,16470.7,3542.1,4205.4,8723.3,3651.3,3903.2,468.4,1395.1,1023.8,252.3,855.4,979.6,3941.7,53468.0
230000000000,黑龙江省,2022,16359.2,3635.3,4549.5,8174.4,3737.7,4156.7,490.3,1332.7,862.2,214.0,894.3,958.1,3713.2,52568.0
230000000000,黑龙江省,2021,15292.8,3463.9,4082.3,7746.6,3558.6,3734.9,474.5,1245.4,701.3,217.5,924.9,952.4,3483.4,48579.0
230000000000,黑龙江省,2020,14000.1,3445.1,3454.7,7100.3,3534.6,3113.0,430.4,1007.3,599.2,178.2,939.3,972.2,3226.0,43573.0
230000000000,黑龙江省,2019,13962.5,3183.2,3668.0,7111.3,3268.2,3355.1,433.3,1006.5,550.6,233.8,922.2,983.0,3209.9,42426.0
230000000000,黑龙江省,2018,13205.7,3001.2,3536.0,6668.6,3080.2,3266.7,409.4,946.3,511.0,213.7,946.6,936.6,2895.3,39268.0
230000000000,黑龙江省,2017,12659.5,2965.3,3519.5,6174.8,3036.9,3226.1,414.3,900.6,491.0,200.2,898.6,887.1,2604.7,36898.0
230000000000,黑龙江省,2016,12280.9,2751.2,3689.7,5839.9,2817.7,3367.3,429.5,876.0,465.7,186.6,864.6,895.2,2378.2,35128.0
310000000000,上海市,2025,,,,,,,,,,,,,,228434.0
310000000000,上海市,2024,53926.7,99.7,11637.6,42189.4,106.2,10910.9,893.5,6590.2,2003.0,513.2,8072.7,5584.2,19252.8,217140.0
310000000000,上海市,2023,51404.5,100.7,11542.9,39760.9,107.2,10853.5,833.6,6662.8,1721.9,526.7,7532.0,5733.6,17433.1,207193.0
310000000000,上海市,2022,48594.5,100.0,11386.4,37108.1,106.9,10772.7,741.1,6282.9,1701.5,388.2,7841.8,5479.3,15280.1,195788.0
310000000000,上海市,2021,47059.4,96.0,11425.4,35538.0,105.8,10767.0,770.4,6465.1,1776.0,478.1,7624.6,5464.3,13608.1,189107.0
310000000000,上海市,2020,41603.9,107.7,10356.7,31139.5,116.7,9740.2,714.1,5540.5,1387.6,388.1,6973.4,5097.6,11645.7,167454.0
310000000000,上海市,2019,40241.2,107.1,10317.1,29817.1,113.3,9683.4,725.3,5295.9,1548.2,483.6,6393.1,5039.9,10958.4,162394.0
310000000000,上海市,2018,37769.1,104.8,10360.8,27303.5,112.4,9763.5,685.7,4884.8,1623.1,451.6,5901.9,4881.2,9464.9,152880.0
310000000000,上海市,2017,34378.3,110.8,9525.9,24741.6,115.1,8977.4,634.4,4562.9,1387.3,430.3,5334.5,4270.0,8666.5,139381.0
310000000000,上海市,2016,30963.9,114.3,8570.2,22279.3,118.3,8045.5,595.6,4218.5,1259.6,400.1,4698.0,4127.9,7500.2,125742.0
320000000000,江苏省,2025,,,,,,,,,,,,,,167040.0
320000000000,江苏省,2024,137008.0,5245.2,59180.1,72582.8,5755.7,49333.0,10022.9,15607.7,5158.8,2378.8,9205.8,8426.5,31118.8,160694.0
320000000000,江苏省,2023,130924.3,5075.9,57329.8,68518.6,5541.5,47642.7,9806.5,14550.1,4897.7,2148.1,8565.3,8676.8,29095.5,153658.0
320000000000,江苏省,2022,124564.2,4963.9,55343.4,64256.9,5383.0,46527.1,8899.0,13707.7,4364.2,1872.8,8227.6,8714.5,26868.3,146374.0
320000000000,江苏省,2021,119853.2,4719.1,53575.8,61558.4,5076.1,45379.9,8264.4,13254.8,4369.1,1812.1,7953.1,9190.3,24553.4,141153.0
320000000000,江苏省,2020,104566.6,4537.6,45391.4,54637.6,4868.5,38173.3,7277.9,11307.2,3702.2,1583.1,7457.9,8613.4,21583.0,123411.0
320000000000,江苏省,2019,99836.9,4297.2,44281.4,51258.3,4611.9,37537.5,6794.5,10884.7,3316.4,1584.8,7084.1,7893.8,20129.3,118045.0
320000000000,江苏省,2018,93456.3,4141.7,42129.4,47185.2,4431.4,36113.2,6063.7,10139.3,2987.5,1413.4,6846.9,7349.5,18111.4,110802.0
320000000000,江苏省,2017,86512.9,4045.2,39124.1,43343.6,4314.5,33782.6,5386.0,9197.5,2764.0,1302.9,6215.7,7229.8,16320.0,102961.0
320000000000,江苏省,2016,78261.2,4039.8,35041.5,39180.0,4286.1,30291.4,4790.0,8447.9,2553.9,1203.2,5545.2,6420.6,14723.0,93748.0
330000000000,浙江省,2025,,,,,,,,,,,,,,141418.0
330000000000,浙江省,2024,90130.6,2586.4,34782.7,52761.4,2670.0,30071.6,4877.4,11865.5,2880.4,1721.1,7914.7,6526.9,21603.1,135565.0
330000000000,浙江省,2023,85619.6,2463.0,33586.1,49570.6,2541.4,28844.1,4851.2,10712.4,2684.4,1618.5,7123.5,6892.6,20351.5,129687.0
330000000000,浙江省,2022,80770.0,2185.2,32873.3,45711.5,2253.8,28326.2,4639.9,9863.1,2356.9,1369.4,6729.4,6574.9,18656.4,123153.0
330000000000,浙江省,2021,76765.3,2211.9,31370.7,43182.7,2278.1,26972.1,4471.7,8951.1,2358.2,1237.0,6167.1,6840.5,17489.5,118028.0
330000000000,浙江省,2020,67164.5,2166.3,26638.2,38360.0,2221.4,22754.4,3944.8,7720.8,1916.2,1010.2,5580.9,6567.6,15448.2,104593.0
330000000000,浙江省,2019,64632.0,2086.7,26643.3,35902.0,2135.9,22736.6,3963.2,7419.7,1968.2,1104.6,4909.7,6022.3,14371.8,102201.0
330000000000,浙江省,2018,59311.7,1975.9,25308.1,32027.7,2019.3,21621.2,3737.6,6853.0,1868.2,991.9,4506.3,5241.2,12473.0,95333.0
330000000000,浙江省,2017,53135.2,1933.9,23246.7,27954.6,1972.8,20038.7,3262.3,6323.6,1756.7,941.3,3770.6,4080.8,10988.4,86808.0
330000000000,浙江省,2016,48095.8,1890.4,21571.2,24634.1,1925.5,18661.5,2959.4,5828.6,1618.8,889.4,3229.7,3482.7,9500.3,79781.0
340000000000,安徽省,2025,,,,,,,,,,,,,,86832.0
340000000000,安徽省,2024,50625.2,3565.6,19607.5,27452.1,3820.9,14171.2,5509.3,5296.2,2917.2,1173.5,3050.4,2834.7,11851.8,82694.0
340000000000,安徽省,2023,48227.5,3494.8,18734.9,25997.8,3731.2,13493.1,5278.5,4888.4,2848.0,1088.0,2867.4,2927.6,11105.3,78752.0
340000000000,安徽省,2022,45525.1,3516.5,17697.0,24311.6,3729.9,12885.0,4848.0,4392.1,2534.3,910.6,2781.0,3119.7,10324.6,74387.0
340000000000,安徽省,2021,43102.8,3363.9,16925.5,22813.5,3548.7,12335.4,4626.4,4118.9,2319.5,872.6,2659.0,3290.4,9332.0,70556.0
340000000000,安徽省,2020,38628.8,3184.9,15286.7,20157.2,3353.7,11094.0,4220.0,3635.0,2097.0,705.0,2480.0,3170.0,7874.1,63341.0
340000000000,安徽省,2019,37584.8,2915.9,14895.9,19773.0,3069.2,11060.4,3860.0,3410.6,2106.0,755.0,2367.0,3165.0,7791.6,61776.0
340000000000,安徽省,2018,34377.3,2638.0,14094.4,17644.9,2776.0,10639.8,3476.8,3184.0,1883.0,688.2,2142.5,2968.3,6618.6,56667.0
340000000000,安徽省,2017,30141.8,2582.3,12681.2,14878.3,2707.3,9739.9,2961.7,2924.0,1605.4,614.7,1683.2,2297.0,5608.6,49862.0
340000000000,安徽省,2016,26801.2,2489.8,11517.5,12793.9,2603.7,8909.4,2626.7,2656.3,1475.0,552.8,1446.1,1942.6,4588.4,44505.0
350000000000,福建省,2025,,,,,,,,,,,,,,143623.0
350000000000,福建省,2024,57761.0,3287.7,24713.2,29760.2,3415.7,19185.8,5638.2,7768.5,1885.7,987.9,3258.7,2738.2,12882.3,137920.0
350000000000,福建省,2023,54801.7,3220.1,23502.8,28078.8,3343.8,18264.6,5304.4,7340.7,1734.2,903.1,3110.9,2941.2,11858.9,130932.0
350000000000,福建省,2022,52099.6,3077.5,22470.0,26552.1,3195.2,17495.2,5041.4,6699.6,1713.4,784.2,3258.6,3228.8,10683.2,124417.0
350000000000,福建省,2021,49602.6,2900.0,22434.5,24268.2,3008.6,17543.0,4963.2,5892.0,1629.2,739.2,3014.7,3288.8,9524.0,118837.0
350000000000,福建省,2020,43682.0,2730.8,19509.7,21441.6,2831.8,15063.7,4513.5,4856.4,1385.5,611.2,2949.0,3140.6,8330.3,105283.0
350000000000,福建省,2019,42479.1,2595.5,19578.6,20305.0,2691.1,15214.7,4431.8,4499.7,1429.5,669.6,2856.7,3167.5,7518.5,103092.0
350000000000,福建省,2018,39204.8,2379.0,18847.8,17978.0,2464.3,14781.0,4131.4,3891.9,1385.3,611.8,2581.1,2835.1,6523.0,95984.0
350000000000,福建省,2017,34432.2,2215.1,16290.0,15927.0,2294.4,12864.9,3481.2,3426.5,1317.9,557.7,2343.4,2647.9,5498.4,85218.0
350000000000,福建省,2016,30199.2,2145.1,14683.7,13370.4,2221.0,11712.0,3022.5,3043.4,1191.9,493.1,2082.4,2021.2,4411.7,75498.0
360000000000,江西省,2025,,,,,,,,,,,,,,80259.0
360000000000,江西省,2024,34202.5,2605.1,13688.5,17908.8,2760.5,11254.2,2453.5,3395.9,1412.7,736.1,2096.6,1910.6,8182.3,75862.0
360000000000,江西省,2023,32677.1,2436.4,13115.7,17125.0,2580.3,10695.6,2433.2,3206.9,1355.0,666.1,2051.0,2012.5,7676.7,72271.0
360000000000,江西省,2022,31568.1,2466.4,12832.9,16268.8,2596.6,10395.0,2456.6,2979.0,1262.1,575.8,2041.0,2169.5,7092.5,69802.0
360000000000,江西省,2021,29838.2,2334.0,12559.3,14945.0,2439.1,10237.2,2337.5,2643.9,1198.0,554.8,1977.7,2234.4,6215.6,66043.0
360000000000,江西省,2020,25825.4,2243.8,10631.7,12949.9,2328.1,8546.6,2095.0,2218.6,1015.1,422.8,1756.1,2122.0,5321.0,57167.0
360000000000,江西省,2019,24724.0,2057.7,10385.3,12281.0,2135.8,8355.3,2038.1,2127.8,1098.8,458.9,1571.3,2074.2,4863.6,54766.0
360000000000,江西省,2018,23016.9,1877.3,10081.2,11058.4,1947.9,8264.2,1823.4,1942.3,1031.8,408.4,1422.6,1946.7,4229.5,51013.0
360000000000,江西省,2017,20497.6,1835.3,9444.6,9217.8,1898.5,7969.6,1480.0,1695.0,903.6,386.1,1100.1,1496.6,3568.0,45515.0
360000000000,江西省,2016,18761.2,1794.1,8732.5,8234.6,1851.9,7349.3,1387.5,1397.7,828.2,373.3,1012.3,1308.0,3253.1,41780.0
370000000000,山东省,2025,,,,,,,,,,,,,,102567.0
370000000000,山东省,2024,98565.8,6616.9,39608.6,52340.3,7200.1,31934.9,7964.7,13953.4,4459.8,1692.2,4893.0,5182.6,21285.1,97575.0
370000000000,山东省,2023,94206.4,6500.6,38055.9,49649.9,7034.3,30586.7,7658.1,13022.1,4256.0,1518.4,4667.3,5456.1,20007.4,92878.0
370000000000,山东省,2022,89519.4,6296.2,36037.2,47186.0,6775.4,29170.1,7019.1,12184.6,4175.1,1294.4,4733.6,5297.0,18870.1,88053.0
370000000000,山东省,2021,84838.0,6026.9,34084.0,44727.1,6452.5,27637.5,6595.3,11608.5,3981.7,1292.1,4492.3,5366.1,17411.9,83440.0
370000000000,山东省,2020,74355.9,5364.4,29008.0,39983.5,5750.1,23268.5,5854.7,9860.4,3303.0,1077.1,4300.7,5087.9,15853.5,73362.0
370000000000,山东省,2019,72024.3,5116.9,28464.9,38442.5,5477.1,22924.8,5661.0,9588.1,3540.1,1178.7,4057.9,5092.3,14504.3,71371.0
370000000000,山东省,2018,67864.4,4950.5,27523.7,35390.2,5273.9,22613.0,5024.9,8747.1,3408.5,1040.7,3871.2,4906.9,12978.2,67493.0
370000000000,山东省,2017,63958.6,4832.7,26925.6,32200.3,5114.7,22515.8,4441.0,8057.0,3244.4,983.7,3570.6,4174.4,11856.9,63939.0
370000000000,山东省,2016,59702.6,4830.2,25565.0,29307.3,5072.3,21696.0,3909.4,7842.4,2683.8,868.2,3265.2,3796.0,10569.3,60187.0
410000000000,河南省,2025,,,,,,,,,,,,,,68240.0
410000000000,河南省,2024,63590.0,5491.4,24346.2,33752.4,6012.8,18555.8,5906.3,5393.2,3340.9,1264.9,3124.0,4103.4,15888.7,64888.0
410000000000,河南省,2023,60627.7,5353.0,23097.7,32177.0,5829.7,17609.8,5603.2,5100.7,3110.5,1224.5,3099.3,4291.3,14758.7,61592.0
410000000000,河南省,2022,58807.4,5731.0,22122.5,30953.9,6166.0,17128.2,5082.6,4789.1,3034.6,1130.8,3102.1,4109.1,14264.9,59537.0
410000000000,河南省,2021,57806.9,5626.1,22571.0,29609.7,5918.2,17353.6,5318.6,4666.3,2818.9,1193.7,3053.2,4277.8,13206.5,58320.0
410000000000,河南省,2020,54160.6,5354.0,21416.6,27390.0,5600.5,16538.5,4968.0,4242.4,2540.3,1079.9,2902.0,4121.5,12167.5,54592.0
410000000000,河南省,2019,53739.3,4635.7,22185.5,26918.2,4860.7,17278.9,4994.2,4094.0,2858.5,1185.9,2750.2,4101.7,11615.2,54378.0
410000000000,河南省,2018,50273.5,4311.1,21446.8,24515.5,4501.2,16729.1,4790.8,3697.9,2861.1,1037.9,2529.2,3848.3,10277.9,51057.0
410000000000,河南省,2017,44586.5,4139.3,20035.3,20411.9,4310.5,15836.4,4235.8,3227.4,2433.7,979.3,2130.5,3237.8,8195.1,45480.0
410000000000,河南省,2016,40167.7,4063.6,18140.6,17963.4,4217.4,14690.6,3503.8,2940.5,2230.4,843.9,1850.4,2912.8,6978.0,41242.0
420000000000,湖北省,2025,,,,,,,,,,,,,,107619.0
420000000000,湖北省,2024,60013.0,5462.2,21573.8,32977.0,5891.1,17609.0,4123.6,5154.3,3119.3,1611.8,2736.2,3759.1,16008.6,102832.0
420000000000,湖北省,2023,56794.3,5068.2,20750.3,30975.8,5452.1,16937.5,3909.4,4797.5,2847.1,1496.8,2679.6,3764.9,14909.3,97234.0
420000000000,湖北省,2022,53445.4,4981.9,19948.5,28515.0,5325.9,16416.4,3624.9,4220.9,2404.2,1287.1,2818.0,3899.4,13448.6,91563.0
420000000000,湖北省,2021,50093.3,4634.0,19241.3,26218.0,4925.7,15954.5,3375.4,3828.9,2257.5,1221.9,2922.7,3821.5,11785.3,86554.0
