province,year,gdp_100m,ind2_100m,ind3_100m,population_10k,urban_pop_10k,rural_pop_10k,broadband_users,mobile_internet_users,co2_total,coal_emissions,coal_share,software_revenue,digital_core_industry_share,co2_approx,green_certificate_volume,charging_infrastructure,express_delivery_revenue,high_tech_industry_share,optical_cable_length,aqi_good_rate,electricity_market_volume,green_power_trade_volume,iot_terminal_users,5g_base_stations,renewable_installation_share,pgdp,pgdp_ln,urban_rate,ind2_share,carbon_intensity,carbon_intensity_ln,co2_total_ln,carbon_per_capita,carbon_per_capita_ln,energy_digital_index,energy_digital_index_100,energy_digital_index_pca,energy_digital_index_pca_100
内蒙古,2018.0,16252.9,6335.4,8166.8,2422.0,1587.0,835.0,628.3,2508.06,857.5732149133332,827.5920429333331,0.9650395191237053,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,67105.28488852188,11.114018081237123,0.6552436003303055,0.3898012047080828,0.052764319900653625,-2.9419200761555753,6.754106557218404,35.407647188824654,3.5669278190934572,0.0025095050858668553,0.25095050858668555,0.13004311223191584,13.004311223191584
内蒙古,2019.0,17479.4,6774.0,8842.2,2415.0,1605.0,810.0,682.5,2606.15,972.7872788599997,937.2298576666662,0.963447896610035,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,72378.4679089027,11.18966412956713,0.6645962732919255,0.3875419064727622,0.055653356457315444,-2.8886128893809904,6.88016543429663,40.28104674368529,3.6958810541980482,0.0026941919071699575,0.26941919071699577,0.139162322334269,13.9162322334269
内蒙古,2020.0,17623.4,6789.7,8804.9,2403.0,1622.0,781.0,722.9,2574.26,1046.6621954466668,1004.6788755666668,0.95988837653386,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,73339.15938410322,11.202849979657573,0.6749895963379109,0.38526618019224435,0.059390480579608176,-2.823621325059036,6.953361518358823,43.55647921126371,3.7740584686104457,0.002765261234936631,0.2765261234936631,0.14209493333387732,14.209493333387732
内蒙古,2021.0,21584.8,9646.5,9583.6,2400.0,1637.0,763.0,796.2,2665.19,1034.0940912,989.1847621333334,0.9565713319040898,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,89936.66666666667,11.406860997893029,0.6820833333333334,0.44691171565175497,0.04790843979096402,-3.0384635940324403,6.941281048220442,43.0872538,3.763227217872496,0.002988568418138429,0.29885684181384287,0.15289197676604407,15.289197676604408
内蒙古,2022.0,23795.7,10916.8,10223.9,2401.0,1647.0,754.0,868.0,2577.01,1058.0678159999995,1013.2516100666661,0.9576433521031193,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,99107.45522698875,11.503959946822388,0.6859641815910037,0.45877196300171874,0.04446466445618324,-3.113060462404745,6.964199708662713,44.06779741774259,3.785729298429551,0.0030948949173407367,0.3094894917340737,0.15694437514022094,15.694437514022095
辽宁,2016.0,20832.0,7865.7,11125.2,4327.0,2980.0,1347.0,971.7,3529.83,508.94331231999996,270.7959668333333,0.5320749094804282,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,48144.210769586316,10.781956176759593,0.6886988675756875,0.3775777649769585,0.024430842565284175,-3.7119089053475713,6.2323366396607245,11.762036337416221,2.4648770854239306,0.003933506704506591,0.3933506704506591,0.20255337785358374,20.255337785358375
辽宁,2017.0,22105.4,8328.9,11874.2,4312.0,2996.0,1316.0,1058.6,3936.77,515.6480892666667,272.63820100000004,0.5287291986046816,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,51264.842300556586,10.84476046093749,0.6948051948051948,0.37678123897328253,0.023326792967630836,-3.758152666279914,6.245424535270226,11.958443628633272,2.4814376086694843,0.004387959135839082,0.4387959135839082,0.22636356645821673,22.636356645821675
辽宁,2018.0,24113.5,9049.0,13044.0,4291.0,3015.0,1276.0,1136.0,3905.94,560.6579574933332,281.69421903333335,0.5024350680631925,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,56195.52551852715,10.936592415604114,0.7026334187835004,0.3752669666369461,0.02325079136140889,-3.7614161104781743,6.329111018141282,13.065904392760038,2.5700061191378487,0.004543311440988363,0.45433114409883635,0.23309593816896837,23.309593816896836
辽宁,2019.0,25665.9,9510.3,13977.6,4277.0,3046.0,1231.0,1230.4,4062.3,628.0281913666666,295.1417197666666,0.4699497949676461,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,60009.11854103344,11.002251805340993,0.7121814355856909,0.3705422369759096,0.024469361735480408,-3.7103334854198264,6.442585056171893,14.683848290078716,2.6867481339330763,0.004855794859417575,0.48557948594175754,0.24844578923099797,24.844578923099796
辽宁,2020.0,25839.0,9294.3,14259.9,4255.0,3070.0,1185.0,1331.2,3921.8,646.1317758666667,299.2915566666666,0.46320513530730195,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,60726.2044653349,11.014130588425992,0.7215041128084606,0.35970045280390106,0.025006067412309558,-3.6886367870675834,6.4710034703897,15.185235625538581,2.7203236153703165,0.004994472894329936,0.49944728943299366,0.2535201513316796,25.35201513316796
辽宁,2021.0,28471.0,10664.9,15344.0,4229.0,3079.0,1150.0,1464.9,3994.08,649.7070767666665,298.6522979,0.4596722254993336,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,67323.24426578387,11.117260838851578,0.7280681012059589,0.37458817744371464,0.02281995984569093,-3.780119694160144,6.47652161018774,15.363137308268303,2.7319709587033434,0.005342441164480541,0.5342441164480541,0.26976994314482367,26.976994314482365
辽宁,2022.0,29739.7,10924.1,16217.5,4197.0,3064.0,1133.0,1569.8,4462.64,613.7140389333332,286.2330980666667,0.4663949004069626,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,70859.423397665,11.168453241181515,0.7300452704312604,0.36732381295036604,0.020636187955269662,-3.8807090475161075,6.419529085022816,14.622683796362477,2.6825740076773164,0.0058766483165350915,0.5876648316535091,0.297677621875574,29.767762187557402
吉林,2016.0,10603.5,3901.4,5572.1,2567.0,1508.0,1059.0,440.0,2029.74,214.18323241333331,169.2046319333333,0.7899994319200497,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,41306.97312037398,10.62878660538416,0.5874561745227892,0.36793511576366295,0.020199295743229435,-3.902107539379311,5.366831874899807,8.343717663160628,2.1215088800167585,0.0017806450679645127,0.17806450679645128,0.09329928715675541,9.32992871567554
吉林,2017.0,11083.0,3995.5,5992.1,2526.0,1508.0,1018.0,501.5,2349.58,214.5174999266667,167.9538817,0.7829379037021009,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,43875.6927949327,10.689115750841399,0.5969912905779889,0.36050708291978706,0.01935554452103823,-3.9447763619957303,5.3683913197799225,8.49237925283716,2.1391692028575777,0.002122461288335581,0.21224612883355812,0.11132203928151932,11.132203928151933
