,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
山西,0.02242216167733245,0.014495617294181199,0.0737595396836832,0.061189049699757594,0.019589668996115313,0.021942544297608852,0.057815475518573536,0.044348921977102114,0.03097945963433088,0.057839271855283154,0.0,0.015040002160075148,0.014339328913245412,0.011272828704334105,0.02866862801618139,0.023129324458804734,0.14314470629508144,0.06844427040247406,0.022531407749779436,0.012357585167156116,0.029902890787914974,0.023000200665796965,0.030829527996273923,0.016937251282629094,0.018017139951391377,0.024048855395383904,0.02291294599787551,0.0484830977142456,0.025623127184234616,0.01693517052315423
广东,0.031884378495887496,0.03539308965486298,0.01959603355800904,0.020459918640641426,0.015144538771200356,0.03139107787796965,0.02131602326596616,0.02107426155258444,0.037073402358036384,0.024954473683273803,0.023552638315036335,0.0,0.0768746797609626,0.011775404648088756,0.03412215631749124,0.05770086262189704,0.023238032880641146,0.029900905638176718,0.03682946748801499,0.08396378524620605,0.04620345306119106,0.06803708864284365,0.02271960504163895,0.055831315990305275,0.050575117802010794,0.016938404739730968,0.03947155907772977,0.029368108719177825,0.020762313609190196,0.013847902541234835
广西,0.024391216994442643,0.06232056831830481,0.019233353184330032,0.019057885028476624,0.013898909852727622,0.04051768661817981,0.019560554277293793,0.022221023912570928,0.029337019925451433,0.02223458544930051,0.022652843796385016,0.07755067085021052,0.0,0.012957624476725951,0.02682763741941273,0.039229996013666,0.021759353129392287,0.027423461659286247,0.027156864458693534,0.1048482852841052,0.037257485790585736,0.051528164169946745,0.02537546270046553,0.03349623357643815,0.0865531664829371,0.015385855393694725,0.05051884761634612,0.030389837572555613,0.0234829421996294,0.012832463848445184
新疆,0.026276571098482047,0.03441803590658619,0.042793975517974266,0.035604142203471405,0.028620440113512155,0.0416207725264253,0.03424142036568285,0.05164326168164607,0.02959532543984271,0.032867134205715125,0.039216800886244435,0.026159138136809836,0.028534531166160896,0.0,0.02855557043885398,0.028463484742026594,0.036745982535977176,0.03516603601430854,0.026609743007449938,0.025396174201137725,0.031059906781300377,0.030216149773492233,0.052873671601814616,0.024794709610009263,0.03338912569754495,0.029523040395737277,0.03726391940271481,0.04067058902243747,0.0596056521862575,0.028074695340384117
江苏,0.08863174869151454,0.013645484267635772,0.020634398472649796,0.02660910323955138,0.016761507881945595,0.016975457101616787,0.030093886981189942,0.017780633630848787,0.15881319926997045,0.04482815842669199,0.027769203026507334,0.021105775294763793,0.016449209451814148,0.007950749873219656,0.0,0.05089186384267491,0.030975347296305383,0.04228077147567732,0.10149941223885514,0.015103645294600784,0.052331190608941286,0.03384885122110676,0.01651497957525187,0.03581364104179456,0.018115634271620162,0.020625116975529222,0.01989728845643966,0.025129092039079634,0.014573541367412854,0.014351108684790425
江西,0.043933247133383146,0.019659914603444604,0.019164401105655277,0.021480331481619458,0.014255443255311015,0.02315841073281474,0.02306142488944615,0.01906959473823051,0.07193076040785785,0.030008505190194438,0.02514602887668066,0.04005872322280079,0.026997952059068762,0.008895190944421264,0.057121330135155544,0.0,0.025579833377735412,0.03796568466020884,0.0592943119402524,0.02408162783306033,0.10313420668399645,0.09256607737577094,0.01923760671341383,0.06009087122810471,0.028831935478003855,0.016645926806925816,0.0295101400577592,0.02952976065678663,0.016941016709166826,0.012649741702730631
河北,0.02335104937807705,0.012671689290808688,0.059632455069237054,0.08746796786317501,0.02079866794720657,0.018241616760755315,0.0883929244034132,0.03194291297946017,0.031433508536356417,0.08298841114898572,0.13408392778551795,0.013899818496107755,0.012901895154950764,0.009894003064761032,0.02995443345345324,0.022039040421211135,0.0,0.06161368259122184,0.0229623560483572,0.011304106162765316,0.027883629650104005,0.020987778243249697,0.02377302504021523,0.016449151819094964,0.015736119534602584,0.02662754723268334,0.01934979973002021,0.035727044195539716,0.020358934708455893,0.01753250329021297
河南,0.030877234509355093,0.017016854266515957,0.036879023741643806,0.041049890730890284,0.018006613639414474,0.025424576681366415,0.044349496328649124,0.032850052739368106,0.05487006335105869,0.06739929902155221,0.07104640496130463,0.019819727847641567,0.01801911179456302,0.010492746235762868,0.04530972282793872,0.03624847859656716,0.0682779925427479,0.0,0.03253401487091358,0.015341427029783859,0.054934078428878826,0.035195593358015816,0.028469939157641136,0.023146694767975574,0.02281565030029867,0.022080584191234497,0.029096980743508243,0.05936254497836033,0.023512930438655228,0.015572271918394292
浙江,0.16103137117472743,0.014577740440814894,0.018951341742803485,0.023540142127816528,0.016801229884322387,0.017134163856028457,0.0260343960052675,0.016859157258323296,0.0808596986642114,0.03469271465417314,0.0241154346789152,0.025171583819790313,0.018398926667636956,0.008186687109438236,0.11215374723055391,0.05837317821065464,0.026237459574473463,0.033545897810857636,0.0,0.017500759928410423,0.04703097010890587,0.035872562246397954,0.016037829712701852,0.05547732937296627,0.01918912503856811,0.020100868309588727,0.020122313046471118,0.023061574018365495,0.014350511992354096,0.01459128531446134
海南,0.02741327542865653,0.047698889430702995,0.019782756737503054,0.020050017033175774,0.015329145801653309,0.03443194126018849,0.02064572549253965,0.02191713368247328,0.030933476901569397,0.023338710015509526,0.022954734150849674,0.09959533574791124,0.12328382029400488,0.013560250022722098,0.028964359335032264,0.041145091644320266,0.02241679142523894,0.02745360654641857,0.03037307726977332,0.0,0.036912752046721446,0.04821983172553034,0.024209767555515432,0.040292609476930766,0.05605885488899453,0.016859348813488936,0.04064715093119222,0.028670589292933337,0.022640860141600865,0.014200096906849067
